"principal.cause","female.n","female.pct","male.n","male.pct","total.n","total.pct"
"1. Uncorrected refractive error",0,0,0,0,0,0
"2. Uncorrected aphakia",0,0,0,0,0,0
"3. Untreated cataract",35,46.1,18,39.1,53,43.4
"4. Cataract surgical complications",2,2.6,3,6.5,5,4.1
"5. Trachomatous corneal opacity",10,13.2,4,8.7,14,11.5
"6. Other corneal opacity",2,2.6,5,10.9,7,5.7
"7. Phthisis",2,2.6,1,2.2,3,2.5
"8. Onchocerciasis",0,0,0,0,0,0
"9. Glaucoma",10,13.2,8,17.4,18,14.8
"10. Diabetic retinopathy",0,0,0,0,0,0
"11. Age-related macular degeneration",13,17.1,4,8.7,17,13.9
"12. Other posterior segment disease",2,2.6,2,4.3,4,3.3
"13. Other globe or CNS abnomalities",0,0,1,2.2,1,0.8
"Total",76,100,46,100,122,100
